District,Rank,Crime_Type,Total_Cases,Pct_of_District_Total
Kushi Nagar,2,SLL Crimes,23209,37.3
Kushi Nagar,3,Crimes Against Women,4567,7.3
Kushi Nagar,4,Crimes Against Children,1940,3.1
Kushi Nagar,5,Crimes Against SCs,1441,2.3
Lalitpur,1,SLL Crimes,25179,63.7
Lalitpur,2,IPC Crimes,11257,28.5
Lalitpur,3,Crimes Against Women,1413,3.6
Lalitpur,4,Crimes Against SCs,727,1.8
Lalitpur,5,Crimes Against Children,456,1.2
Lucknow,1,IPC Crimes,59175,39.8
Lucknow,2,SLL Crimes,16397,11.0
Lucknow,3,Crimes Against Women,7891,5.3
Lucknow,4,Theft,7541,5.1
Lucknow,5,Murder,7350,4.9
Lucknow Commissionarate,1,IPC Crimes,59814,63.8
Lucknow Commissionarate,2,SLL Crimes,14449,15.4
Lucknow Commissionarate,3,Crimes Against Women,9852,10.5
Lucknow Commissionarate,4,Cyber Crimes,5119,5.5
Lucknow Commissionarate,5,Crimes Against Children,2479,2.6
Lucknow Grameen,1,IPC Crimes,2111,46.5
Lucknow Grameen,2,SLL Crimes,1743,38.4
Lucknow Grameen,3,Crimes Against Women,384,8.5
Lucknow Grameen,4,Crimes Against SCs,146,3.2
Lucknow Grameen,5,Crimes Against Children,73,1.6
Maharajganj,1,SLL Crimes,20947,50.3
Maharajganj,2,IPC Crimes,15333,36.8
Maharajganj,3,Crimes Against Women,2740,6.6
Maharajganj,4,Crimes Against Children,1316,3.2
Maharajganj,5,Crimes Against SCs,828,2.0
Mahoba,1,SLL Crimes,14061,54.4
Mahoba,2,IPC Crimes,7998,30.9
Mahoba,3,Crimes Against Women,1831,7.1
Mahoba,4,Crimes Against Children,985,3.8
Mahoba,5,Crimes Against SCs,749,2.9
Mainpuri,1,SLL Crimes,30646,49.5
Mainpuri,2,IPC Crimes,24361,39.4
Mainpuri,3,Crimes Against Women,3919,6.3
Mainpuri,4,Crimes Against Children,1586,2.6
Mainpuri,5,Crimes Against SCs,904,1.5
Mathura,1,IPC Crimes,52511,34.1
Mathura,2,SLL Crimes,28427,18.5
Mathura,3,Crimes Against Women,8196,5.3
