District,Year,Crime_Type,Total,Source
Saharanpur,2016,Crimes Against STs,0,NCRB
Sambhal,2016,Crimes Against STs,0,NCRB
Sant Kabirnagar,2016,Crimes Against STs,0,NCRB
Shahjahanpur,2016,Crimes Against STs,0,NCRB
Shamli,2016,Crimes Against STs,0,NCRB
Shrawasti,2016,Crimes Against STs,0,NCRB
Sidharthnagar,2016,Crimes Against STs,0,NCRB
Sitapur,2016,Crimes Against STs,0,NCRB
Sonbhadra,2016,Crimes Against STs,4,NCRB
Bhadohi,2016,Crimes Against STs,0,NCRB
Sultanpur,2016,Crimes Against STs,0,NCRB
Unnao,2016,Crimes Against STs,0,NCRB
Varanasi,2016,Crimes Against STs,0,NCRB
Agra,2016,Crimes Against Women,1669,NCRB
Aligarh,2016,Crimes Against Women,1024,NCRB
Allahabad,2016,Crimes Against Women,1165,NCRB
Ambedkar Nagar,2016,Crimes Against Women,269,NCRB
Amethi,2016,Crimes Against Women,387,NCRB
Amroha,2016,Crimes Against Women,641,NCRB
Auraiya,2016,Crimes Against Women,481,NCRB
Azamgarh,2016,Crimes Against Women,651,NCRB
Badaun,2016,Crimes Against Women,684,NCRB
Baghpat,2016,Crimes Against Women,365,NCRB
Bahraich,2016,Crimes Against Women,682,NCRB
Ballia,2016,Crimes Against Women,489,NCRB
Balrampur,2016,Crimes Against Women,206,NCRB
Banda,2016,Crimes Against Women,302,NCRB
Barabanki,2016,Crimes Against Women,608,NCRB
Bareilly,2016,Crimes Against Women,1882,NCRB
Basti,2016,Crimes Against Women,402,NCRB
Bijnor,2016,Crimes Against Women,857,NCRB
Bulandshahar,2016,Crimes Against Women,960,NCRB
Chandoli,2016,Crimes Against Women,292,NCRB
Chitrakoot,2016,Crimes Against Women,278,NCRB
Deoria,2016,Crimes Against Women,496,NCRB
Etah,2016,Crimes Against Women,443,NCRB
Etawah,2016,Crimes Against Women,598,NCRB
Faizabad,2016,Crimes Against Women,440,NCRB
Fatehgarh,2016,Crimes Against Women,676,NCRB
Fatehpur,2016,Crimes Against Women,560,NCRB
Firozabad,2016,Crimes Against Women,688,NCRB
G. R. P.,2016,Crimes Against Women,109,NCRB
Gautambudh Nagar,2016,Crimes Against Women,866,NCRB
Ghaziabad,2016,Crimes Against Women,1450,NCRB
Ghazipur,2016,Crimes Against Women,445,NCRB
Gonda,2016,Crimes Against Women,616,NCRB
Gorakhpur,2016,Crimes Against Women,1192,NCRB
Hamirpur,2016,Crimes Against Women,335,NCRB
Hapur,2016,Crimes Against Women,352,NCRB
Hardoi,2016,Crimes Against Women,572,NCRB
Hathras,2016,Crimes Against Women,468,NCRB
Jalaun,2016,Crimes Against Women,336,NCRB
Jaunpur,2016,Crimes Against Women,496,NCRB
Jhansi,2016,Crimes Against Women,601,NCRB
Kannauj,2016,Crimes Against Women,493,NCRB
Kanpur Dehat,2016,Crimes Against Women,614,NCRB
Kanpur Nagar,2016,Crimes Against Women,1412,NCRB
Kasganj,2016,Crimes Against Women,319,NCRB
Kaushambi,2016,Crimes Against Women,498,NCRB
Khiri,2016,Crimes Against Women,797,NCRB
Kushi Nagar,2016,Crimes Against Women,591,NCRB
Lalitpur,2016,Crimes Against Women,197,NCRB
Lucknow,2016,Crimes Against Women,3000,NCRB
Maharajganj,2016,Crimes Against Women,258,NCRB
Mahoba,2016,Crimes Against Women,305,NCRB
Mainpuri,2016,Crimes Against Women,477,NCRB
Mathura,2016,Crimes Against Women,724,NCRB
Mau,2016,Crimes Against Women,295,NCRB
Meerut,2016,Crimes Against Women,1209,NCRB
Mirzapur,2016,Crimes Against Women,183,NCRB
Moradabad,2016,Crimes Against Women,1487,NCRB
Muzaffarnagar,2016,Crimes Against Women,724,NCRB
Pilibhit,2016,Crimes Against Women,727,NCRB
Pratapgarh,2016,Crimes Against Women,782,NCRB
Raibareilly,2016,Crimes Against Women,353,NCRB
Rampur,2016,Crimes Against Women,1078,NCRB
Saharanpur,2016,Crimes Against Women,541,NCRB
Sambhal,2016,Crimes Against Women,602,NCRB
Sant Kabirnagar,2016,Crimes Against Women,193,NCRB
Shahjahanpur,2016,Crimes Against Women,907,NCRB
Shamli,2016,Crimes Against Women,367,NCRB
Shrawasti,2016,Crimes Against Women,213,NCRB
Sidharthnagar,2016,Crimes Against Women,278,NCRB
Sitapur,2016,Crimes Against Women,843,NCRB
Sonbhadra,2016,Crimes Against Women,183,NCRB
Bhadohi,2016,Crimes Against Women,189,NCRB
Sultanpur,2016,Crimes Against Women,410,NCRB
Unnao,2016,Crimes Against Women,703,NCRB
Varanasi,2016,Crimes Against Women,1000,NCRB
Agra,2016,SLL Crimes,6630,NCRB
Aligarh,2016,SLL Crimes,4254,NCRB
Allahabad,2016,SLL Crimes,4738,NCRB
Ambedkar Nagar,2016,SLL Crimes,666,NCRB
Amethi,2016,SLL Crimes,614,NCRB
Amroha,2016,SLL Crimes,2310,NCRB
Auraiya,2016,SLL Crimes,1273,NCRB
Azamgarh,2016,SLL Crimes,1555,NCRB
Badaun,2016,SLL Crimes,3996,NCRB
Baghpat,2016,SLL Crimes,2011,NCRB
Bahraich,2016,SLL Crimes,2655,NCRB
Ballia,2016,SLL Crimes,1333,NCRB
Balrampur,2016,SLL Crimes,885,NCRB
Banda,2016,SLL Crimes,1139,NCRB
Barabanki,2016,SLL Crimes,1830,NCRB
Bareilly,2016,SLL Crimes,5446,NCRB
Basti,2016,SLL Crimes,2035,NCRB
Bijnor,2016,SLL Crimes,5876,NCRB
Bulandshahar,2016,SLL Crimes,7365,NCRB
Chandoli,2016,SLL Crimes,1186,NCRB
Chitrakoot,2016,SLL Crimes,932,NCRB
Deoria,2016,SLL Crimes,2032,NCRB
Etah,2016,SLL Crimes,3437,NCRB
Etawah,2016,SLL Crimes,2218,NCRB
Faizabad,2016,SLL Crimes,1805,NCRB
Fatehgarh,2016,SLL Crimes,2864,NCRB
Fatehpur,2016,SLL Crimes,2532,NCRB
Firozabad,2016,SLL Crimes,4120,NCRB
G. R. P.,2016,SLL Crimes,2625,NCRB
Gautambudh Nagar,2016,SLL Crimes,5697,NCRB
Ghaziabad,2016,SLL Crimes,8119,NCRB
Ghazipur,2016,SLL Crimes,1089,NCRB
Gonda,2016,SLL Crimes,2231,NCRB
Gorakhpur,2016,SLL Crimes,4342,NCRB
Hamirpur,2016,SLL Crimes,1145,NCRB
Hapur,2016,SLL Crimes,2387,NCRB
Hardoi,2016,SLL Crimes,2944,NCRB
Hathras,2016,SLL Crimes,2226,NCRB
Jalaun,2016,SLL Crimes,2025,NCRB
Jaunpur,2016,SLL Crimes,1314,NCRB
Jhansi,2016,SLL Crimes,2806,NCRB
Kannauj,2016,SLL Crimes,1695,NCRB
Kanpur Dehat,2016,SLL Crimes,2514,NCRB
Kanpur Nagar,2016,SLL Crimes,4767,NCRB
Kasganj,2016,SLL Crimes,1381,NCRB
Kaushambi,2016,SLL Crimes,1724,NCRB
Khiri,2016,SLL Crimes,2514,NCRB
Kushi Nagar,2016,SLL Crimes,3376,NCRB
Lalitpur,2016,SLL Crimes,1652,NCRB
Lucknow,2016,SLL Crimes,4004,NCRB
Maharajganj,2016,SLL Crimes,2720,NCRB
Mahoba,2016,SLL Crimes,824,NCRB
Mainpuri,2016,SLL Crimes,2841,NCRB
Mathura,2016,SLL Crimes,6098,NCRB
Mau,2016,SLL Crimes,1893,NCRB
Meerut,2016,SLL Crimes,5047,NCRB
Mirzapur,2016,SLL Crimes,1871,NCRB
Moradabad,2016,SLL Crimes,3624,NCRB
Muzaffarnagar,2016,SLL Crimes,6190,NCRB
Pilibhit,2016,SLL Crimes,3836,NCRB
Pratapgarh,2016,SLL Crimes,1656,NCRB
Raibareilly,2016,SLL Crimes,2339,NCRB
Rampur,2016,SLL Crimes,3593,NCRB
Saharanpur,2016,SLL Crimes,4298,NCRB
Sambhal,2016,SLL Crimes,2622,NCRB
Sant Kabirnagar,2016,SLL Crimes,1289,NCRB
Shahjahanpur,2016,SLL Crimes,4251,NCRB
Shamli,2016,SLL Crimes,2038,NCRB
Shrawasti,2016,SLL Crimes,688,NCRB
Sidharthnagar,2016,SLL Crimes,1239,NCRB
Sitapur,2016,SLL Crimes,2898,NCRB
Sonbhadra,2016,SLL Crimes,1872,NCRB
Bhadohi,2016,SLL Crimes,634,NCRB
Sultanpur,2016,SLL Crimes,622,NCRB
Unnao,2016,SLL Crimes,2353,NCRB
Varanasi,2016,SLL Crimes,4358,NCRB
Agra,2018,IPC Crimes,11035,NCRB
Aligarh,2018,IPC Crimes,6699,NCRB
Prayagraj,2018,IPC Crimes,16295,NCRB
Ambedkar Nagar,2018,IPC Crimes,1698,NCRB
Amethi,2018,IPC Crimes,3256,NCRB
Amroha,2018,IPC Crimes,2398,NCRB
Auraiya,2018,IPC Crimes,2743,NCRB
Azamgarh,2018,IPC Crimes,3959,NCRB
Badaun,2018,IPC Crimes,4291,NCRB
Baghpat,2018,IPC Crimes,2573,NCRB
